designator,quantity,value,pkg,desc,mpn,mount_type
"C1, C2, C32, C4, C5, C73, C75, C8",8,0.1uF,C_Disc_D5.0mm_W2.5mm_P5.00mm,Ceramic Radial 0.1uF 10% 25+V LS:5mm,,tht
C31,1,4.7uF,C_Rect_L5.0mm_W3.2mm_H5.00mm,Ceramic Radial 4.7uF 10% 25+V LS:5mm,FG28X5R1E475KRT06,tht
C40,1,100uF,CP_Radial_D7.5mm_P2.50mm,Electrolytic Radial 100uF 20% 5000hr LS:2.5mm,ESL107M035AE3AA,tht
"JP1, JP3",2,8JP2NC,PinHeader_2x08_P2.54mm_Vertical,M 2.54mm Header,,tht
JP2,1,J3_C12,PinHeader_1x03_P2.54mm_Vertical,M 2.54mm Header,,tht
P10,1,Power Bus,PinHeader_1x04_P2.54mm_Vertical,M 2.54mm Header,,tht
P2,1,5V Data Bus,PinHeader_1x08_P2.54mm_Vertical,M 2.54mm Header,,tht
P3,1,3.3V Data Bus,PinHeader_1x08_P2.54mm_Vertical,M 2.54mm Header,,tht
P4,1,5V Address Bus,PinHeader_1x16_P2.54mm_Vertical,M 2.54mm Header,,tht
P5,1,3.3V Address Bus,PinHeader_1x16_P2.54mm_Vertical,M 2.54mm Header,,tht
"R1, R2",2,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Film Resistor Axial 1/4w 5%,,tht
U1,1,DIP-16 SKT,DIP-16_W7.62mm_LongPads,16P DUAL WIPE DIPSKT,4816-3000-CP,tht
U2,1,DIP-14 SKT,DIP-14_W7.62mm_LongPads,14P DUAL WIPE DIPSKT,4814-3000-CP,tht
U3,2,2ea / SIP-20 SKT,SIP-20_LongPads,PAIR OF STANDRD SOLDER TAIL SIP SOCKETS 5mm Height,,tht
"U4, U5, U8",3,DIP-20 SKT,DIP-20_W7.62mm_LongPads,20P DUAL WIPE DIPSKT,,tht
U6,1,dnp,dnp,dnp,,tht
U7,1,74LVC4245A,SOIC127P1030X265-24N,Bus Transceivers Octal Bus Trncvr & 3.3-5V W/3-St Otpt,SN74LVC4245ADWR,tht
